Defensive Line,Linebacker,Offensive Line,Quarterback,Running Back,Secondary,Special Teams,Tight End,Wide Receiver,Year,Team,Wins,Active Contracts,Salary Cap,Dead Cap,Injured Reserve
22011901,11122652,19069690,6172994,5306754,12966833,4716666,2469743,15138466,2013,Arizona Cardinals,10,98975699,123000000,18449362,2171334
18751968,7853317,13729975,15901372,2005796,19759492,1861579,4719055,14681460,2014,Arizona Cardinals,11,99264014,133000000,15708766,14230500
22192507,9523324,28507727,11834168,1990934,24721160,1760500,5182956,16265925,2015,Arizona Cardinals,13,121979201,143280000,12809409,5797593
25399973,11441026,9446322,20967646,3554463,16920253,1235792,4412867,17911935,2016,Arizona Cardinals,7,111290277,155270000,13722653,27660135
11782746,19474480,6432180,5264117,1218529,29452810,4403147,5535729,20911232,2017,Arizona Cardinals,8,104474970,167000000,7526798,57220158
22548633,13513467,2602729,5199592,6165917,25049762,3674485,8270516,20266148,2018,Arizona Cardinals,3,107921249,177200000,40226555,24767273
11741812,15094845,13507475,9899474,5945249,15828478,4022283,6360146,17406641,2013,Atlanta Falcons,4,100229932,123000000,17155771,4732522
16010491,15379786,18642857,18576474,6973727,12639684,5152284,1140146,17827688,2014,Atlanta Falcons,6,112913137,133000000,11065205,8077979
17804066,7474613,14473312,20096474,1687750,6767535,4321470,2520586,23877288,2015,Atlanta Falcons,8,99720594,143280000,22469541,14045930
19193231,6387625,20866868,25500000,1775740,6833620,6743333,2893276,21523881,2016,Atlanta Falcons,11,112615074,155270000,26026281,15158848
30713199,4063684,19194343,27250000,5899417,21550247,6663334,3755204,27614441,2017,Atlanta Falcons,10,147393869,167000000,8459139,10460779
20579225,4516688,31191773,22200000,1574409,28978875,5374019,2155204,24287868,2018,Atlanta Falcons,7,141338061,177200000,9172909,23143896
21924109,22598777,18919033,7381327,6466477,14359826,3735000,3966000,7234688,2013,Baltimore Ravens,8,108485383,123000000,17514344,1452357
22263236,18652738,18324445,15471327,1834484,15943504,4507705,4298823,6852932,2014,Baltimore Ravens,10,108719340,133000000,14865768,796412
6153652,21521043,10569285,2394411,763618,22957204,5421000,1165684,1699896,2015,Baltimore Ravens,5,73305939,143280000,24009341,43537339
5373566,21131440,17724077,24050000,1789466,20651787,7540000,3875614,12960473,2016,Baltimore Ravens,8,115846569,155270000,15341537,19771337
7757782,16056831,12309024,26550000,4788853,17351643,7246666,4011855,16143120,2017,Baltimore Ravens,9,112215774,167000000,21993528,16745651
9561330,23750718,20802331,27572117,2259156,40087224,9736666,4731789,11659592,2018,Baltimore Ravens,10,150160923,177200000,14609080,4021157
